;link
134;http://www.gendarmerie.gov.mg/blog/2014/04/04/
135;http://www.gendarmerie.gov.mg/blog/2014/04/09-faussires-interpelles/
136;http://www.gendarmerie.gov.mg/blog/2014/04/09-faussires-interpelles/#more-1326
137;http://www.gendarmerie.gov.mg/blog/2014/04/09/
138;http://www.gendarmerie.gov.mg/blog/2014/04/15/
139;http://www.gendarmerie.gov.mg/blog/2014/04/17/
140;http://www.gendarmerie.gov.mg/blog/2014/04/18/
141;http://www.gendarmerie.gov.mg/blog/2014/04/19/
142;http://www.gendarmerie.gov.mg/blog/2014/04/23/
143;http://www.gendarmerie.gov.mg/blog/2014/04/29/
144;http://www.gendarmerie.gov.mg/blog/2014/04/30/
145;http://www.gendarmerie.gov.mg/blog/2014/04/41-dahalo-sont-tombes-sous-la-balles-des-gendarmes/
146;http://www.gendarmerie.gov.mg/blog/2014/04/41-dahalo-sont-tombes-sous-la-balles-des-gendarmes/#more-1369
147;http://www.gendarmerie.gov.mg/blog/2014/04/cloture-de-formation-complementaire-en-pj/
148;http://www.gendarmerie.gov.mg/blog/2014/04/cloture-de-formation-complementaire-en-pj/#more-1343
149;http://www.gendarmerie.gov.mg/blog/2014/04/page/2/
150;http://www.gendarmerie.gov.mg/blog/2014/04/passation-de-service-entre-les-seg-sortant-et-entrant/
151;http://www.gendarmerie.gov.mg/blog/2014/04/passation-de-service-entre-les-seg-sortant-et-entrant/#more-1349
152;http://www.gendarmerie.gov.mg/blog/2014/04/reunion-des-grands-responsables-de-larmee-malagasy-07-avril-2014/
153;http://www.gendarmerie.gov.mg/blog/2014/04/reunion-des-grands-responsables-de-larmee-malagasy-07-avril-2014/#more-1322
154;http://www.gendarmerie.gov.mg/blog/2014/04/reunoin-des-hauts-responsables-du-14-avril-2014/
155;http://www.gendarmerie.gov.mg/blog/2014/04/reunoin-des-hauts-responsables-du-14-avril-2014/#more-1330
156;http://www.gendarmerie.gov.mg/blog/2014/04/sortie-officielle-de-la-promotion-motocycliste/
157;http://www.gendarmerie.gov.mg/blog/2014/04/sortie-officielle-de-la-promotion-motocycliste/#more-1364
158;http://www.gendarmerie.gov.mg/blog/2014/04/un-voleur-de-porc-arrete-par-la-bde-imerintsiatosika/
159;http://www.gendarmerie.gov.mg/blog/2014/04/un-voleur-de-porc-arrete-par-la-bde-imerintsiatosika/#more-1336
160;http://www.gendarmerie.gov.mg/blog/2014/04/visite-du-centre-dorphelinat-par-le-comgn-et-les-membres-de-fivaza/
161;http://www.gendarmerie.gov.mg/blog/2014/04/visite-du-centre-dorphelinat-par-le-comgn-et-les-membres-de-fivaza/#more-1374
162;http://www.gendarmerie.gov.mg/blog/2014/04/visite-officielle-de-lambassadeur-de-france-et-lattache-de-defense-aupres-de-lambassade-des-etats-unis-au-secretariat-detat-charge-de-la-gendarmerie-nationale-ma/
