;link
131;http://www.gendarmerie.gov.mg/blog/2014/05/ceremonie-remise-des-livres-au-profit-de-la-gendarmerie-nationale-a-la-bibliotheque-nationale/#more-1406
132;http://www.gendarmerie.gov.mg/blog/2014/05/culte-oecumenique-pour-la-benediction-des-nouveaux-dirigeants-au-sein-du-ministere-de-la-defense-nationale/
133;http://www.gendarmerie.gov.mg/blog/2014/05/culte-oecumenique-pour-la-benediction-des-nouveaux-dirigeants-au-sein-du-ministere-de-la-defense-nationale/#more-1421
134;http://www.gendarmerie.gov.mg/blog/2014/05/la-ceremonie-officielle-de-passation-de-commandement-au-sein-du-ministere-de-la-defense-nationale/
135;http://www.gendarmerie.gov.mg/blog/2014/05/la-ceremonie-officielle-de-passation-de-commandement-au-sein-du-ministere-de-la-defense-nationale/#more-1425
136;http://www.gendarmerie.gov.mg/blog/2014/05/passation-de-commandement-de-la-gendarmerie-nationale/
137;http://www.gendarmerie.gov.mg/blog/2014/05/passation-de-commandement-de-la-gendarmerie-nationale/#more-1416
138;http://www.gendarmerie.gov.mg/blog/2014/05/passation-de-service-du-05-mai-2014-a-fort-duchesne/
139;http://www.gendarmerie.gov.mg/blog/2014/05/passation-de-service-du-05-mai-2014-a-fort-duchesne/#more-1386
140;http://www.gendarmerie.gov.mg/blog/2014/05/passation-de-service-entre-le-directeur-du-cabinet-aupres-du-secretariat-detat-charge-de-la-gendarmerie-nationale-entrant-et-sortant/
141;http://www.gendarmerie.gov.mg/blog/2014/05/passation-de-service-entre-le-directeur-du-cabinet-aupres-du-secretariat-detat-charge-de-la-gendarmerie-nationale-entrant-et-sortant/#more-1403
142;http://www.gendarmerie.gov.mg/blog/2014/05/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale-a-la-salle-dhonneur-du-toby-ratsimandrava-2/
143;http://www.gendarmerie.gov.mg/blog/2014/05/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale-a-la-salle-dhonneur-du-toby-ratsimandrava-2/#more-1431
144;http://www.gendarmerie.gov.mg/blog/2014/05/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale-a-la-salle-dhonneur-du-toby-ratsimandrava/
145;http://www.gendarmerie.gov.mg/blog/2014/05/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale-a-la-salle-dhonneur-du-toby-ratsimandrava/#more-1428
146;http://www.gendarmerie.gov.mg/blog/2014/05/reunion-des-grands-responsables-de-lemmonat-a-la-salle-dhonneur-du-toby-ratsimandrava/
147;http://www.gendarmerie.gov.mg/blog/2014/05/reunion-des-grands-responsables-de-lemmonat-a-la-salle-dhonneur-du-toby-ratsimandrava/#more-1412
148;http://www.gendarmerie.gov.mg/blog/2014/06/
149;http://www.gendarmerie.gov.mg/blog/2014/06/03/
150;http://www.gendarmerie.gov.mg/blog/2014/06/19/
151;http://www.gendarmerie.gov.mg/blog/2014/06/celebration-de-la-fete-des-meres-2014-au-sein-du-fi-va-za-seg-a-la-villa-mahatazana-le-31-mai-2014/
152;http://www.gendarmerie.gov.mg/blog/2014/06/celebration-de-la-fete-des-meres-2014-au-sein-du-fi-va-za-seg-a-la-villa-mahatazana-le-31-mai-2014/#more-1440
153;http://www.gendarmerie.gov.mg/blog/2014/06/passation-de-commandement-de-la-cirgn-majunga/
154;http://www.gendarmerie.gov.mg/blog/2014/06/passation-de-commandement-de-la-cirgn-majunga/#more-1449
155;http://www.gendarmerie.gov.mg/blog/2014/06/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale/
156;http://www.gendarmerie.gov.mg/blog/2014/06/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale/#more-1436
157;http://www.gendarmerie.gov.mg/blog/2014/08/
158;http://www.gendarmerie.gov.mg/blog/2014/08/19/
159;http://www.gendarmerie.gov.mg/blog/2014/08/27/
160;http://www.gendarmerie.gov.mg/blog/2014/08/resultat-positive-de-la-brigade-dambohimangakely/
161;http://www.gendarmerie.gov.mg/blog/2014/08/resultat-positive-de-la-brigade-dambohimangakely/#more-1463
162;http://www.gendarmerie.gov.mg/blog/2014/08/seance-de-tir-dinstruction-organisee-par-la-gendarmerie-nationale-au-niveau-du-secretariat-detat-aupres-du-ministere-de-la-defense-nationale-charge-de-la-gendarmerie-et-la-direction/
163;http://www.gendarmerie.gov.mg/blog/2014/08/seance-de-tir-dinstruction-organisee-par-la-gendarmerie-nationale-au-niveau-du-secretariat-detat-aupres-du-ministere-de-la-defense-nationale-charge-de-la-gendarmerie-et-la-direction/#more-1467
164;http://www.gendarmerie.gov.mg/blog/2014/09/
165;http://www.gendarmerie.gov.mg/blog/2014/09/05/
166;http://www.gendarmerie.gov.mg/blog/2014/09/08/
167;http://www.gendarmerie.gov.mg/blog/2014/09/11/
168;http://www.gendarmerie.gov.mg/blog/2014/09/escroquerie-deux-soi-disant-employes-de-lusaid-arretes-par-la-brigade-de-la-gn-andriampamaky/
169;http://www.gendarmerie.gov.mg/blog/2014/09/escroquerie-deux-soi-disant-employes-de-lusaid-arretes-par-la-brigade-de-la-gn-andriampamaky/#more-1478
170;http://www.gendarmerie.gov.mg/blog/2014/09/singature-de-convention-de-partenariat-entre-la-gendarmerie-et-la-societe-ambatovy-le-05-septembre-2014-a-toamasina/
171;http://www.gendarmerie.gov.mg/blog/2014/09/singature-de-convention-de-partenariat-entre-la-gendarmerie-et-la-societe-ambatovy-le-05-septembre-2014-a-toamasina/#more-1481
172;http://www.gendarmerie.gov.mg/blog/2014/09/six-faussaires-de-cheques-carburants-et-lubrifiant-ccal-arretes-par-la-section-de-recherche-criminelle-fiadanana-2/
